City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
478,Qui Nhon,13.7667,109.2333,79.99,89,100,6.13,VN,2022-06-15 16:01:34
479,Hambantota,6.1241,81.1185,79.14,100,40,1.14,LK,2022-06-15 16:01:34
480,Moerai,-22.4333,-151.3333,75.15,65,100,10.42,PF,2022-06-15 16:01:35
481,Tuy Hoa,13.0833,109.3,78.35,89,100,4.85,VN,2022-06-15 16:01:35
482,Sharjah,25.3573,55.4033,98.58,38,0,11.5,AE,2022-06-15 15:57:16
483,Oshakati,-17.7833,15.6833,74.53,18,0,4.68,NA,2022-06-15 16:01:36
484,Chingirlau,51.095,54.0814,72.25,49,60,4.59,KZ,2022-06-15 16:01:36
485,Mogadishu,2.0371,45.3438,79.27,83,2,15.48,SO,2022-06-15 16:01:37
486,Wattegama,6.7989,81.4808,76.84,88,100,2.91,LK,2022-06-15 16:01:37
487,Svarstad,59.399,9.9698,71.2,77,100,2.48,NO,2022-06-15 16:01:37
488,Olinda,-8.0089,-34.8553,82.13,69,40,8.05,BR,2022-06-15 15:58:53
489,Port Lincoln,-34.7333,135.8667,56.46,82,23,9.1,AU,2022-06-15 15:58:35
490,Jacksonville,30.3322,-81.6556,93.09,65,0,4.61,US,2022-06-15 16:00:45
491,Taltal,-25.4,-70.4833,58.8,72,100,4.09,CL,2022-06-15 16:01:01
492,Kuroishi,40.6389,140.5922,59.59,93,85,3.18,JP,2022-06-15 16:01:38
493,Pangody,65.85,74.4859,58.55,61,100,14.03,RU,2022-06-15 16:01:39
494,Talnakh,69.4865,88.3972,68.27,51,92,7.4,RU,2022-06-15 16:01:40
495,Samarai,-10.6167,150.6667,80.51,79,100,9.08,PG,2022-06-15 16:01:40
496,Bendigo,-36.7667,144.2833,50.86,72,98,1.99,AU,2022-06-15 16:00:11
497,Santa Maria,-29.6842,-53.8069,63.7,63,0,4.61,BR,2022-06-15 15:58:05
498,Lugovoy,42.9472,72.7644,69.58,57,81,5.57,KZ,2022-06-15 16:01:41
499,Champerico,14.3,-91.9167,80.73,79,100,7.43,GT,2022-06-15 16:01:41
500,Kalmunai,7.4167,81.8167,79.3,84,100,13.78,LK,2022-06-15 16:01:41
501,Ibra,22.6906,58.5334,90.01,48,22,15.41,OM,2022-06-15 16:00:58
502,Denpasar,-8.65,115.2167,82.06,89,40,10.36,ID,2022-06-15 16:01:02
503,Chapais,49.7834,-74.8492,76.39,31,77,10.49,CA,2022-06-15 16:01:42
504,Russell,32.3502,-85.1999,91.9,47,82,4.9,US,2022-06-15 16:01:42
505,Saint-Paul,-21.0096,55.2707,75.36,78,19,3.56,RE,2022-06-15 16:02:43
506,Melilla,35.2937,-2.9383,80.98,74,20,9.22,ES,2022-06-15 16:02:43
507,Cusuna,15.85,-85.2333,82.89,68,97,6.58,HN,2022-06-15 16:02:44
508,Sola,-13.8833,167.55,81.27,74,99,20.49,VU,2022-06-15 16:02:44
509,Miraflores,19.2167,-98.8083,65.16,62,99,1.3,MX,2022-06-15 16:02:44
510,Gorontalo,0.5412,123.0595,74.07,96,80,1.68,ID,2022-06-15 16:02:45
511,Xuddur,4.1213,43.8894,83.16,39,22,10.85,SO,2022-06-15 16:02:45
